#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
2	IPR011545	DNA/RNA helicase, DEAD/DEAH box type, N-terminal	HMMPfam	PF00270	DEAD	1	917,	1072,	2.4e-15
2517	IPR006670	Cyclin	HMMSmart	SM00385	no description	2	258,355,	342,436,	7e-26,2.4e-26
2517	IPR006671	Cyclin, N-terminal	ScanRegExp	PS00292	CYCLINS	1	253,	284,	8e-5
2517	IPR011028	Cyclin-like	superfamily	SSF47954	Cyclin-like	2	211,351,	350,470,	2.8e-51,1.1e-41
2518	IPR001310	Histidine triad (HIT) protein	HMMPfam	PF01230	HIT	1	40,	150,	3.5e-18
2518	IPR001310	Histidine triad (HIT) protein	ProfileScan	PS51084	HIT_2	1	32,	155,	18.105
2518	IPR001310	Histidine triad (HIT) protein	ScanRegExp	PS00892	HIT_1	1	128,	146,	8e-5
2518	IPR011146	Histidine triad-like motif	superfamily	SSF54197	HIT-like	1	4,	189,	4e-28
2519	IPR000241	Putative RNA methylase	HMMPfam	PF01170	UPF0020	1	194,	363,	3.7e-08
2519	IPR016691	tRNA guanosine-2'-O-methyltransferase, TRM11	HMMPIR	PIRSF017259	tRNA guanosine-2'-O-methyltransferase, TRM11 type	1	1,	447,	1.1e-207
2519	IPR002052	N-6 adenine-specific DNA methylase, conserved site	ScanRegExp	PS00092	N6_MTASE	1	303,	309,	NA
2520	IPR003000	NAD-dependent histone deacetylase, silent information regulator Sir2	HMMPfam	PF02146	SIR2	1	183,	410,	7.2e-98
2520	IPR003000	NAD-dependent histone deacetylase, silent information regulator Sir2	ProfileScan	PS50305	SIRTUIN	1	166,	461,	48.613
2521	IPR013105	Tetratricopeptide TPR2	HMMPfam	PF07719	TPR_2	1	73,	106,	0.0014
2521	IPR013026	Tetratricopeptide region	HMMSmart	SM00028	no description	3	35,73,193,	68,106,226,	13,0.063,1.6e+02
2521	IPR013026	Tetratricopeptide region	ProfileScan	PS50005	TPR	2	35,73,	68,106,	6.402,10.266
2521	IPR013026	Tetratricopeptide region	ProfileScan	PS50293	TPR_REGION	1	35,	106,	13.505
2522	IPR006575	RWD	HMMPfam	PF05773	RWD	1	1,	120,	8.2e-32
2522	IPR006575	RWD	HMMSmart	SM00591	no description	1	8,	123,	6.7e-17
2522	IPR006575	RWD	ProfileScan	PS50908	RWD	1	8,	123,	22.779
2522	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	superfamily	SSF54495	UBC-like	1	3,	131,	1e-20
2524	IPR000608	Ubiquitin-conjugating enzyme, E2	BlastProDom	PD000461	Q874L6_KLUDE_Q874L6;	1	8,	137,	5e-41
2524	IPR000608	Ubiquitin-conjugating enzyme, E2	HMMPfam	PF00179	UQ_con	1	12,	135,	2.1e-05
2524	IPR000608	Ubiquitin-conjugating enzyme, E2	HMMSmart	SM00212	no description	1	11,	140,	0.00014
2524	IPR000608	Ubiquitin-conjugating enzyme, E2	ProfileScan	PS50127	UBIQUITIN_CONJUGAT_2	1	11,	141,	17.866
2524	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	superfamily	SSF54495	UBC-like	1	4,	141,	7e-39
2526	IPR005377	Vacuolar protein sorting-associated protein 26	HMMPfam	PF03643	Vps26	1	6,	280,	7.8e-190
2526	IPR014756	Immunoglobulin E-set	superfamily	SSF81296	E set domains	1	25,	184,	0.00091
2527	IPR000623	Shikimate kinase	HMMPfam	PF01202	SKI	1	62,	241,	3.8e-05
2527	IPR006001	Carbohydrate kinase, thermoresistant glucokinase	HMMTigr	TIGR01313	therm_gnt_kin: carbohydrate kinase, the	1	56,	239,	3.7e-62
2529	IPR001078	Catalytic domain of components of various dehydrogenase complexes	BlastProDom	PD001115	Q6C806_EEEEE_Q6C806;	1	387,	463,	4e-18
2529	IPR001078	Catalytic domain of components of various dehydrogenase complexes	HMMPfam	PF00198	2-oxoacid_dh	1	235,	468,	1.7e-81
2529	IPR000089	Biotin/lipoyl attachment	HMMPfam	PF00364	Biotin_lipoyl	1	57,	124,	7.5e-11
2529	IPR004167	E3 binding	HMMPfam	PF02817	E3_binding	1	185,	221,	5e-15
2529	IPR000089	Biotin/lipoyl attachment	ProfileScan	PS50968	BIOTINYL_LIPOYL	1	51,	124,	11.893
2529	IPR004167	E3 binding	superfamily	SSF47005	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex	1	174,	224,	9e-11
2529	IPR011053	Single hybrid motif	superfamily	SSF51230	Single hybrid motif	1	42,	146,	3.3e-20
2530	IPR006088	Sterol desaturase	HMMPfam	PF01598	Sterol_desat	1	60,	254,	2e-39
2531	IPR001138	Fungal transcriptional regulatory protein, N-terminal	HMMPfam	PF00172	Zn_clus	1	70,	108,	0.00023
2531	IPR001138	Fungal transcriptional regulatory protein, N-terminal	ProfileScan	PS50048	ZN2_CY6_FUNGAL_2	1	71,	100,	8.654
2531	IPR001138	Fungal transcriptional regulatory protein, N-terminal	superfamily	SSF57701	Zn2/Cys6 DNA-binding domain	1	59,	112,	2.3e-09
2532	IPR000909	Phospholipase C, phosphatidylinositol-specific , X region	HMMSmart	SM00148	no description	1	159,	309,	2.4e-06
2532	IPR000909	Phospholipase C, phosphatidylinositol-specific , X region	ProfileScan	PS50007	PIPLC_X_DOMAIN	1	164,	282,	11.631
2535	IPR000312	Glycosyl transferase, family 3	BlastProDom	PD001864	Q7RZ63_NEUCR_Q7RZ63;	1	110,	363,	9e-69
2535	IPR000312	Glycosyl transferase, family 3	HMMPfam	PF00591	Glycos_transf_3	1	105,	413,	5.8e-59
2535	IPR005940	Anthranilate phosphoribosyl transferase	HMMTigr	TIGR01245	trpD: anthranilate phosphoribosyltransferase	1	18,	422,	2e-49
2535	IPR017459	Glycosyl transferase, family 3, N-terminal	superfamily	SSF47648	Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain	1	12,	86,	0.00072
2535	IPR000312	Glycosyl transferase, family 3	superfamily	SSF52418	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain	1	105,	425,	6.4e-60
2536	IPR006591	RNA polymerase Rbp10	BlastProDom	PD012151	Q6CRL9_EEEEE_Q6CRL9;	1	38,	75,	4e-10
2536	IPR006591	RNA polymerase Rbp10	HMMPfam	PF03604	DNA_RNApol_7kD	1	34,	65,	6.5e-17
2536	IPR006591	RNA polymerase Rbp10	HMMSmart	SM00659	no description	1	32,	75,	1.5e-21
2538	IPR004108	Iron hydrogenase, large subunit, C-terminal	HMMPfam	PF02906	Fe_hyd_lg_C	1	103,	472,	5.8e-20
2538	IPR009016	Iron hydrogenase	superfamily	SSF53920	Fe-only hydrogenase	1	59,	529,	1.8e-94
2540	IPR010323	Protein of unknown function DUF924, bacterial	HMMPfam	PF06041	DUF924	1	82,	336,	4.5e-19
2541	IPR015886	DNA glycosylase/AP lyase, H2TH DNA-binding	BlastProDom	PD003680	Q7S212_NEUCR_Q7S212;	1	165,	242,	2e-23
2541	IPR012319	DNA glycosylase/AP lyase, catalytic domain	HMMPfam	PF01149	Fapy_DNA_glyco	1	2,	135,	1.1e-30
2541	IPR015886	DNA glycosylase/AP lyase, H2TH DNA-binding	HMMPfam	PF06831	H2TH	1	154,	247,	9.6e-18
2541	IPR012319	DNA glycosylase/AP lyase, catalytic domain	ProfileScan	PS51068	FPG_CAT	1	2,	132,	15.947
2541	IPR010979	Ribosomal protein S13-like, H2TH	superfamily	SSF46946	S13-like H2TH domain	1	152,	245,	8.1e-25
2541	IPR012319	DNA glycosylase/AP lyase, catalytic domain	superfamily	SSF81624	N-terminal domain of MutM-like DNA repair proteins	1	2,	161,	4.7e-27
2542	IPR016805	Uncharacterised conserved protein UCP022603	HMMPIR	PIRSF022603	Uncharacterised conserved protein, UCP022603 type	1	1,	196,	1.3e-63
2543	IPR001440	Tetratricopeptide TPR-1	HMMPfam	PF00515	TPR_1	1	77,	110,	4.5e-05
2543	IPR013026	Tetratricopeptide region	HMMSmart	SM00028	no description	6	77,221,368,404,483,666,	110,254,403,437,516,699,	0.012,1.2e+02,92,1.8e+02,2.9e+02,2e+02
2543	IPR013026	Tetratricopeptide region	ProfileScan	PS50005	TPR	4	9,77,370,404,	42,110,403,437,	5.310,11.181,7.493,6.136
2543	IPR013026	Tetratricopeptide region	ProfileScan	PS50293	TPR_REGION	2	9,368,	254,437,	22.196,12.292
2545	IPR000031	1-(5-Phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	BlastProDom	PD002193	Q75WA7_ASPOR_Q75WA7;	1	401,	541,	1e-40
2545	IPR000031	1-(5-Phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	HMMPfam	PF00731	AIRC	1	394,	552,	3.5e-76
2545	IPR003135	ATP-grasp fold, ATP-dependent carboxylate-amine ligase-type	HMMPfam	PF02222	ATP-grasp	1	103,	275,	2.5e-64
2545	IPR016301	Phosphoribosylaminoimidazole carboxylase	HMMPIR	PIRSF001340	Phosphoribosylaminoimidazole carboxylase	1	1,	563,	2.5e-258
2545	IPR005875	Phosphoribosylaminoimidazole carboxylase, ATPase subunit	HMMTigr	TIGR01161	purK: phosphoribosylaminoimidazole carboxyla	1	6,	362,	3e-142
2545	IPR000031	1-(5-Phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	HMMTigr	TIGR01162	purE: phosphoribosylaminoimidazole carboxyla	1	396,	542,	7.2e-75
2545	IPR011761	ATP-grasp fold	ProfileScan	PS50975	ATP_GRASP	1	108,	288,	24.892
2545	IPR011054	Rudiment single hybrid motif	superfamily	SSF51246	Rudiment single hybrid motif	1	300,	386,	5.7e-16
2545	IPR000031	1-(5-Phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	superfamily	SSF52255	N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)	1	394,	564,	5.6e-54
2545	IPR016185	PreATP-grasp-like fold	superfamily	SSF52440	PreATP-grasp domain	1	6,	102,	1.3e-22
2547	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	FPrintScan	PR00119	CATATPASE	5	597,763,933,988,1011,	611,777,943,1007,1023,	1.2e-26,1.2e-26,1.2e-26,1.2e-26,1.2e-26
2547	IPR001877	Copper-transporting ATPase 1	FPrintScan	PR00942	CUATPASEI	5	54,310,379,414,434,	71,331,400,434,459,	2.8e-15,2.8e-15,2.8e-15,2.8e-15,2.8e-15
2547	IPR008250	E1-E2 ATPase-associated region	HMMPfam	PF00122	E1-E2_ATPase	1	491,	755,	5.7e-86
2547	IPR006121	Heavy metal transport/detoxification protein	HMMPfam	PF00403	HMA	4	27,118,208,289,	91,182,272,353,	2.3e-10,2.2e-12,7.3e-07,8.9e-05
2547	IPR005834	Haloacid dehalogenase-like hydrolase	HMMPfam	PF00702	Hydrolase	1	759,	1011,	1.2e-27
2547	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	HMMTigr	TIGR01494	ATPase_P-type: ATPase, P-type (transpor	2	561,901,	779,1081,	5.1e-30,1.6e-33
2547	IPR006403	ATPase, P type cation/copper-transporter	HMMTigr	TIGR01511	ATPase-IB1_Cu: copper-translocating P-t	1	432,	1099,	2.5e-198
2547	IPR006416	Heavy metal translocating P-type ATPase	HMMTigr	TIGR01525	ATPase-IB_hvy: heavy metal translocatin	1	451,	1098,	2.8e-203
2547	IPR006121	Heavy metal transport/detoxification protein	ProfileScan	PS50846	HMA_2	4	25,116,206,287,	91,182,272,353,	19.961,21.028,19.722,13.691
2547	IPR001757	ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter	ScanRegExp	PS00154	ATPASE_E1_E2	1	765,	771,	NA
2547	IPR006121	Heavy metal transport/detoxification protein	ScanRegExp	PS01047	HMA_1	1	121,	150,	8e-5
2547	IPR000150	Cof protein	ScanRegExp	PS01229	COF_2	1	988,	1010,	NA
2547	IPR006121	Heavy metal transport/detoxification protein	superfamily	SSF55008	HMA, heavy metal-associated domain	4	19,110,200,281,	94,185,275,356,	1.6e-20,1.5e-20,5.2e-20,1.1e-14
2548	IPR000717	Proteasome component region PCI	HMMPfam	PF01399	PCI	1	68,	162,	2.2e-16
2548	IPR000717	Proteasome component region PCI	HMMSmart	SM00088	no description	1	93,	186,	1.3e-14
2549	IPR000342	Regulator of G protein signalling	HMMSmart	SM00315	no description	1	21,	256,	6.4e-12
2549	IPR000342	Regulator of G protein signalling	ProfileScan	PS50132	RGS	1	186,	256,	11.202
2549	IPR016137	Regulator of G protein signalling superfamily	superfamily	SSF48097	Regulator of G-protein signaling, RGS	1	5,	262,	2.9e-23
2550	IPR001487	Bromodomain	FPrintScan	PR00503	BROMODOMAIN	4	322,336,352,370,	335,352,370,389,	1e-17,1e-17,1e-17,1e-17
2550	IPR001487	Bromodomain	HMMPfam	PF00439	Bromodomain	1	307,	394,	2.8e-29
2550	IPR000182	GCN5-related N-acetyltransferase	HMMPfam	PF00583	Acetyltransf_1	1	126,	204,	4.7e-12
2550	IPR001487	Bromodomain	HMMSmart	SM00297	no description	1	300,	408,	1.5e-34
2550	IPR001487	Bromodomain	ProfileScan	PS50014	BROMODOMAIN_2	1	319,	389,	20.130
2550	IPR000182	GCN5-related N-acetyltransferase	ProfileScan	PS51186	GNAT	1	77,	232,	18.356
2550	IPR001487	Bromodomain	ScanRegExp	PS00633	BROMODOMAIN_1	1	324,	381,	8e-5
2550	IPR001487	Bromodomain	superfamily	SSF47370	Bromodomain	1	273,	409,	1.1e-36
2550	IPR016181	Acyl-CoA N-acyltransferase	superfamily	SSF55729	Acyl-CoA N-acyltransferases (Nat)	1	76,	239,	3.5e-31
2551	IPR003021	Repair protein Rad1/Rec1	FPrintScan	PR01245	RAD1REC1	2	107,124,	124,141,	2.9e-06,2.9e-06
2551	IPR003021	Repair protein Rad1/Rec1	HMMPfam	PF02144	Rad1	1	105,	141,	4.1e-08
2552	IPR003395	RecF/RecN/SMC protein, N-terminal	HMMPfam	PF02463	SMC_N	1	26,	1315,	8.3e-10
2552	IPR004584	Recombination/repair protein Rad50	HMMTigr	TIGR00606	rad50: rad50	1	25,	1325,	1.4e-77
2552	IPR009053	Prefoldin	superfamily	SSF46579	Prefoldin	2	614,873,	657,970,	0.016,0.0059
2552	IPR010978	tRNA-binding arm	superfamily	SSF46589	tRNA-binding arm	1	1005,	1069,	1.5e-05
2553	IPR007219	Fungal specific transcription factor	HMMPfam	PF04082	Fungal_trans	1	188,	282,	3.9e-13
2554	IPR002347	Glucose/ribitol dehydrogenase	FPrintScan	PR00081	GDHRDH	3	20,98,161,	37,109,180,	1.4e-08,1.4e-08,1.4e-08
2554	IPR002198	Short-chain dehydrogenase/reductase SDR	HMMPfam	PF00106	adh_short	1	19,	109,	1.9e-07
2554	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	17,	232,	7.7e-21
2556	IPR002151	Kinesin light chain	FPrintScan	PR00381	KINESINLIGHT	4	219,306,350,385,	238,323,370,406,	2.3e-05,2.3e-05,2.3e-05,2.3e-05
2556	IPR001440	Tetratricopeptide TPR-1	HMMPfam	PF00515	TPR_1	2	184,310,	217,343,	0.48,0.58
2556	IPR011716	Tetratricopeptide TPR-3	HMMPfam	PF07720	TPR_3	2	226,352,	259,383,	0.14,0.5
2556	IPR013026	Tetratricopeptide region	HMMSmart	SM00028	no description	8	58,142,184,226,268,310,352,394,	91,175,217,259,301,343,385,427,	5e+02,1.6e+02,17,11,4.9e+02,20,3.6e+02,1.1e+02
2556	IPR013026	Tetratricopeptide region	ProfileScan	PS50293	TPR_REGION	1	142,	427,	12.427
2557	IPR011008	Dimeric alpha-beta barrel	superfamily	SSF54909	Dimeric alpha+beta barrel	1	3,	98,	1e-13
2558	IPR003959	AAA ATPase, core	HMMPfam	PF00004	AAA	1	624,	755,	1.1e-14
2558	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	1	621,	748,	6.4e-13
2560	IPR001137	Glycoside hydrolase, family 11	FPrintScan	PR00911	GLHYDRLASE11	6	108,118,146,166,171,194,	117,128,152,171,180,202,	8.5e-19,8.5e-19,8.5e-19,8.5e-19,8.5e-19,8.5e-19
2560	IPR001137	Glycoside hydrolase, family 11	HMMPfam	PF00457	Glyco_hydro_11	1	44,	224,	1.5e-122
2560	IPR001137	Glycoside hydrolase, family 11	ScanRegExp	PS00776	GLYCOSYL_HYDROL_F11_1	1	118,	128,	8e-5
2560	IPR001137	Glycoside hydrolase, family 11	ScanRegExp	PS00777	GLYCOSYL_HYDROL_F11_2	1	209,	220,	8e-5
2560	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	1	36,	224,	6.7e-92
2561	IPR013149	Alcohol dehydrogenase, zinc-binding	HMMPfam	PF00107	ADH_zinc_N	1	1863,	2008,	8e-07
2561	IPR014030	Beta-ketoacyl synthase, N-terminal	HMMPfam	PF00109	ketoacyl-synt	1	25,	275,	7.4e-80
2561	IPR014043	Acyl transferase	HMMPfam	PF00698	Acyl_transf_1	1	535,	864,	1.1e-58
2561	IPR014031	Beta-ketoacyl synthase, C-terminal	HMMPfam	PF02801	Ketoacyl-synt_C	1	283,	398,	8.6e-46
2561	IPR013154	Alcohol dehydrogenase GroES-like	HMMPfam	PF08240	ADH_N	1	1787,	1811,	9.1e-05
2561	IPR013217	Methyltransferase type 12	HMMPfam	PF08242	Methyltransf_12	1	1374,	1474,	1.3e-25
2561	IPR013968	Polyketide synthase, KR	HMMPfam	PF08659	KR	1	2072,	2250,	1.8e-78
2561	IPR006163	Phosphopantetheine-binding	ProfileScan	PS50075	ACP_DOMAIN	1	2381,	2458,	12.086
2561	IPR006162	Phosphopantetheine attachment site	ScanRegExp	PS00012	PHOSPHOPANTETHEINE	1	2416,	2431,	NA
2561	IPR014030	Beta-ketoacyl synthase, N-terminal	ScanRegExp	PS00606	B_KETOACYL_SYNTHASE	1	188,	204,	8e-5
2561	IPR009081	Acyl carrier protein-like	superfamily	SSF47336	ACP-like	1	2385,	2460,	4.1e-09
2561	IPR011032	GroES-like	superfamily	SSF50129	GroES-like	1	1740,	1869,	4.6e-21
2561	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	2	1840,2064,	2017,2325,	3.9e-30,1.7e-34
2561	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	superfamily	SSF52151	FabD/lysophospholipase-like	1	534,	830,	2.1e-60
2561	IPR016039	Thiolase-like	superfamily	SSF53901	Thiolase-like	2	24,242,	280,447,	3.1e-59,2.8e-66
2561	IPR016036	Malonyl-CoA ACP transacylase, ACP-binding	superfamily	SSF55048	Probable ACP-binding domain of malonyl-CoA ACP transacylase	1	663,	723,	1.9e-11
2563	IPR013149	Alcohol dehydrogenase, zinc-binding	HMMPfam	PF00107	ADH_zinc_N	1	1378,	1519,	4.4e-20
2563	IPR014030	Beta-ketoacyl synthase, N-terminal	HMMPfam	PF00109	ketoacyl-synt	1	7,	257,	1.6e-97
2563	IPR014043	Acyl transferase	HMMPfam	PF00698	Acyl_transf_1	1	547,	884,	4e-51
2563	IPR014031	Beta-ketoacyl synthase, C-terminal	HMMPfam	PF02801	Ketoacyl-synt_C	1	265,	384,	2.2e-47
2563	IPR013154	Alcohol dehydrogenase GroES-like	HMMPfam	PF08240	ADH_N	1	1270,	1326,	3.3e-07
2563	IPR011032	GroES-like	superfamily	SSF50129	GroES-like	1	1253,	1382,	2.3e-18
2563	IPR016040	NAD(P)-binding	superfamily	SSF51735	NAD(P)-binding Rossmann-fold domains	1	1355,	1536,	1.1e-38
2563	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	superfamily	SSF52151	FabD/lysophospholipase-like	1	545,	848,	2.1e-54
2563	IPR016039	Thiolase-like	superfamily	SSF53901	Thiolase-like	2	6,224,	262,441,	5e-69,4.3e-68
2563	IPR016036	Malonyl-CoA ACP transacylase, ACP-binding	superfamily	SSF55048	Probable ACP-binding domain of malonyl-CoA ACP transacylase	1	677,	745,	2.1e-17
2564	IPR000542	Acyltransferase ChoActase/COT/CPT	HMMPfam	PF00755	Carn_acyltransf	1	61,	624,	7.1e-38
2564	IPR000542	Acyltransferase ChoActase/COT/CPT	ScanRegExp	PS00440	ACYLTRANSF_C_2	1	332,	359,	8e-5
2565	IPR001128	Cytochrome P450	FPrintScan	PR00385	P450	4	315,369,447,456,	332,380,456,467,	5.3e-05,5.3e-05,5.3e-05,5.3e-05
2565	IPR002401	Cytochrome P450, E-class, group I	FPrintScan	PR00463	EP450I	5	324,368,410,446,456,	350,386,434,456,479,	2.4e-16,2.4e-16,2.4e-16,2.4e-16,2.4e-16
2565	IPR001128	Cytochrome P450	HMMPfam	PF00067	p450	1	323,	491,	2.5e-30
2565	IPR001128	Cytochrome P450	ScanRegExp	PS00086	CYTOCHROME_P450	1	449,	458,	NA
2565	IPR001128	Cytochrome P450	superfamily	SSF48264	Cytochrome P450	1	34,	511,	3.1e-77
2566	IPR003439	ABC transporter-like	BlastProDom	PD000006	Q9Y748_EMENI_Q9Y748;	2	519,1162,	561,1204,	4e-15,5e-09
2566	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC_tran	2	399,1042,	592,1237,	1e-58,3.3e-55
2566	IPR001140	ABC transporter, transmembrane region	HMMPfam	PF00664	ABC_membrane	2	44,686,	324,969,	2.7e-40,8.6e-40
2566	IPR003593	AAA+ ATPase, core	HMMSmart	SM00382	no description	2	398,1041,	593,1238,	9.6e-17,7.5e-17
2566	IPR003439	ABC transporter-like	ProfileScan	PS50893	ABC_TRANSPORTER_2	2	371,1014,	616,1261,	24.337,26.757
2566	IPR011527	ABC transporter, transmembrane region, type 1	ProfileScan	PS50929	ABC_TM1F	2	45,689,	336,978,	40.095,34.535
2566	IPR003439	ABC transporter-like	ScanRegExp	PS00211	ABC_TRANSPORTER_1	2	519,1162,	533,1176,	8e-5,8e-5
2566	IPR011527	ABC transporter, transmembrane region, type 1	superfamily	SSF90123	Multidrug resistance ABC transporter MsbA, N-terminal domain	2	17,663,	352,1180,	3.1e-54,1.9e-48
2567	IPR000679	Zinc finger, GATA-type	HMMPfam	PF00320	GATA	1	376,	408,	3e-10
2567	IPR013655	PAS fold-3	HMMPfam	PF08447	PAS_3	1	77,	150,	3.6e-05
2567	IPR000014	PAS	HMMSmart	SM00091	no description	1	55,	121,	1.4e-05
2567	IPR000679	Zinc finger, GATA-type	HMMSmart	SM00401	no description	1	370,	418,	1.9e-05
2567	IPR000014	PAS	ProfileScan	PS50112	PAS	1	59,	123,	10.071
2567	IPR000679	Zinc finger, GATA-type	ProfileScan	PS50114	GATA_ZN_FINGER_2	1	370,	402,	11.807
2567	IPR000679	Zinc finger, GATA-type	ScanRegExp	PS00344	GATA_ZN_FINGER_1	1	376,	401,	NA
2570	IPR004843	Metallophosphoesterase	HMMPfam	PF00149	Metallophos	1	218,	468,	2.2e-13
2571	IPR006383	HAD-superfamily hydrolase, subfamily IB, PSPase-like	HMMTigr	TIGR01488	HAD-SF-IB: HAD-superfamily hydrolase, su	1	15,	210,	3.7e-19
2571	IPR006384	HAD-superfamily hydrolase, subfamily IB, hypothetical 1	HMMTigr	TIGR01489	DKMTPPase-SF: 2,3-diketo-5-methylthio-1-	1	13,	217,	3.6e-41
2573	IPR001611	Leucine-rich repeat	FPrintScan	PR00019	LEURICHRPT	2	181,201,	194,214,	0.0058,0.0058
2573	IPR001611	Leucine-rich repeat	HMMPfam	PF00560	LRR_1	3	180,203,226,	201,224,247,	0.015,0.016,2.9
2573	IPR005135	Endonuclease/exonuclease/phosphatase	HMMPfam	PF03372	Exo_endo_phos	1	310,	657,	1.2e-33
2573	IPR003591	Leucine-rich repeat, typical subtype	HMMSmart	SM00369	no description	3	178,201,224,	200,223,247,	56,0.38,0.79
2573	IPR005135	Endonuclease/exonuclease/phosphatase	superfamily	SSF56219	DNase I-like	1	310,	659,	1.7e-25
2574	IPR006992	Amidohydrolase 2	HMMPfam	PF04909	Amidohydro_2	1	59,	364,	9.5e-14
2576	IPR013216	Methyltransferase type 11	HMMPfam	PF08241	Methyltransf_11	1	116,	218,	5.9e-09
2578	IPR006683	Thioesterase superfamily	HMMPfam	PF03061	4HBT	1	119,	187,	1.1e-05
2579	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type	HMMPfam	PF00254	FKBP_C	1	11,	105,	1.8e-50
2579	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type	ProfileScan	PS50059	FKBP_PPIASE	1	20,	108,	30.500
2580	IPR016160	Aldehyde dehydrogenase, conserved site	ScanRegExp	PS00687	ALDEHYDE_DEHYDR_GLU	1	519,	526,	NA
2581	IPR009002	FMN-binding split barrel, related	superfamily	SSF50475	FMN-binding split barrel	2	76,254,	185,316,	2.8e-13,0.02
2583	IPR001683	Phox-like	HMMPfam	PF00787	PX	1	168,	282,	8e-32
2583	IPR015404	Vps5 C terminal like	HMMPfam	PF09325	Vps5	1	301,	535,	1.3e-129
2583	IPR001683	Phox-like	HMMSmart	SM00312	no description	1	168,	282,	8.1e-26
2583	IPR001683	Phox-like	ProfileScan	PS50195	PX	1	169,	285,	18.343
2583	IPR001683	Phox-like	superfamily	SSF64268	PX domain	1	165,	285,	6.6e-35
2584	IPR001303	Class II aldolase/adducin, N-terminal	HMMPfam	PF00596	Aldolase_II	1	24,	239,	8.6e-38
2584	IPR017714	Methylthioribulose-1-phosphate dehydratase	HMMTigr	TIGR03328	salvage_mtnB: methylthioribulose-1-phosp	1	26,	234,	2.3e-70
2584	IPR001303	Class II aldolase/adducin, N-terminal	superfamily	SSF53639	AraD-like aldolase/epimerase	1	18,	239,	4.2e-44
2585	IPR001580	Calreticulin/calnexin	BlastProDom	PD001866	Q6Q487_ASPFU_Q6Q487;	1	170,	283,	1e-43
2585	IPR001580	Calreticulin/calnexin	FPrintScan	PR00626	CALRETICULIN	6	135,163,259,307,350,397,	153,179,272,329,369,417,	2.7e-45,2.7e-45,2.7e-45,2.7e-45,2.7e-45,2.7e-45
2585	IPR001580	Calreticulin/calnexin	HMMPfam	PF00262	Calreticulin	1	47,	416,	4.7e-209
2585	IPR001580	Calreticulin/calnexin	ScanRegExp	PS00803	CALRETICULIN_1	1	133,	148,	8e-5
2585	IPR001580	Calreticulin/calnexin	ScanRegExp	PS00804	CALRETICULIN_2	1	167,	175,	8e-5
2585	IPR001580	Calreticulin/calnexin	ScanRegExp	PS00805	CALRETICULIN_REPEAT	2	269,307,	281,319,	8e-5,8e-5
2585	IPR008985	Concanavalin A-like lectin/glucanase	superfamily	SSF49899	Concanavalin A-like lectins/glucanases	2	38,388,	287,433,	6.4e-62,5.4e-09
2585	IPR009033	Calreticulin/calnexin, P	superfamily	SSF63887	P-domain of calnexin/calreticulin	1	245,	386,	9.4e-53
2586	IPR015590	Aldehyde dehydrogenase	HMMPfam	PF00171	Aldedh	1	109,	546,	4.7e-141
2586	IPR010061	Methylmalonate-semialdehyde dehydrogenase	HMMTigr	TIGR01722	MMSDH: methylmalonate-semialdehyde dehydroge	1	101,	550,	9.2e-238
2586	IPR016160	Aldehyde dehydrogenase, conserved site	ScanRegExp	PS00070	ALDEHYDE_DEHYDR_CYS	1	342,	353,	NA
2586	IPR016161	Aldehyde/histidinol dehydrogenase	superfamily	SSF53720	ALDH-like	1	64,	550,	6.5e-129
2588	IPR006996	Dynamitin	HMMPfam	PF04912	Dynamitin	1	382,	457,	1.1e-08
2589	IPR005599	Alg9-like mannosyltransferase	HMMPfam	PF03901	Glyco_transf_22	1	21,	451,	2.8e-11
2590	IPR013880	Yos1-like	BlastProDom	PD059798	Q6BJ99_EEEEE_Q6BJ99;	1	5,	68,	2e-12
